|Nom entreprise|Adresse|Ville|Telephone
0|Mivet Hospital Veterinario Cervantes|Cervantes, 25 bajos|Oviedo, Asturias (España)|985.273.040
1|Mivet Centro Veterinario Alhaurín|Avda Isaac Peral 25|Alhaurín de la Torre, Málaga (España)|952.411.196
2|Clínicas Mivet|Avenida de Manoteras 26 3º|Madrid, Madrid (España)|697.962.540
3|Mivet Hospital veterinario Avenida|Avenida Sabino Arana, 18|Bilbao, Vizcaya (España)|944.424.040
4|Mivet Centro Veterinaria Don Can|Calle de Cristóbal Bordiú, nº 23|Madrid, Madrid (España)|915.341.071
5|Mivet Hospital veterinario Moncan|Av. del Monasterio de El Escorial, nº 55|Madrid, Madrid (España)|914.271.401
6|Mivet Hospital Veterinario del Maresme|Camí de la Geganta 113|Mataró, Barcelona (España)|937.994.102
7|Mivet Centro Veterinario del Sol|Avenida de la Habana 22|A Coruña, A Coruña (España)|981.145.192
8|Mivet Centro Veterinario Faucan|Avenida Juan Carlos I, 5,|Cartagena, Murcia (España)|968.310.739
9|Mivet Hospital Veterinario Málaga Este|Avenida Infanta Elena, s/n|Málaga, Málaga (España)|951.516.033
10|Mivet Hospital Veterinario Manresa|Av. Països Catalans, 165 Polígon Els Trullols, 2,|Manresa, Barcelona (España)|938.772.523
11|Mivet Centro Veterinario Torrox|Edificio Jardines del mar, bloque C2, 1D,|Torrox, Málaga (España)|952.532.587
12|Mivet Centro Veterinario San Mateo|Calle San Mateo, 8,|Oviedo, Asturias (España)|985.087.777
13|Mivet Centro Veterinario La Caleta|Av. Andalucía, nº 126,|Velez malaga, Málaga (España)|952.551.010
14|Mivet Centro Veterinario Ontinyent|Av. d'Albaida, 12|Ontinyent, València (España)|962.910.603
15|Mivet Centro Veterinario Aielo|Av. Santíssim Crist de la Pobresa, 16|Aielo de Malferit, València (España)|962.360.745
16|MIVET Centro Veterinario Faycan Montroy|Av. Vicente Blasco Ibáñez, 57|Montroy, València (España)|962.555.954
17|Mivet Hospital Veterinario Bustamante|Calle Lasaga Larreta, 4,|Torrelavega, Cantabria (España)|942.895.811
18|Mivet Centro Veterinario Gran Vía|Gran Via de les Corts Catalanes, 556|Barcelona, Barcelona (España)|934.540.995
19|Mivet Hospital Veterinario Hospitaria Elche|Av. de la Llibertat, 144|Elche, Alicante (España)|965.438.602
20|Mivet Centro Veterinario Hospitaria Crevillente|Carrer Sant Tomas s/n|Crevillent, Alicante (España)|966.681.814
21|Mivet Hospital Veterinario Sant Mori|Av. Alfonso XIII, 571-581|Badalona, Barcelona (España)|933.999.509
22|Mivet Centro Veterinario Prim Animals|Rambla de Guipúscoa, 137,|Barcelona, Barcelona (España)|933.134.872
23|Centre Veterinari Palau|Cami Reial, 213|Palau-solità i Plegamans, Barcelona (España)|938.648.611
24|NG Centre Veterinari Palafolls|Av. Pau Casals, 2 bis|Palafolls, Barcelona (España)|937.620.938
25|Clínica Veterinària Collbaix|C/ Manresa, 44|Sant Joan de Vilatorrada, Barcelona (España)|938.767.876
26|Clínica Veterinària VeterClínic-Esplugues|Carme, 21|Esplugues de Llobregat, Barcelona (España)|933.720.572
27|Clínica Manescalia Veterinaris Mollet|Gallecs, 62|Mollet del Vallès, Barcelona (España)|935.703.027
28|Clínica Veteralia Sant Cugat|Viñolas, 10|Sant Cugat del Vallès, Barcelona (España)|936.750.512
29|Veter 7 Clínica Veterinària|Sagrada Família, 4|Manresa, Barcelona (España)|938.732.160
